title,job_type,salary,skills,address,company_name,company_description
Sr Front-End Dev (JavaScript/HTML5/CSS),FULL_TIME,You'll love it,"JavaScript, HTML5, CSS","444A - 446 Cach Mang Thang Tam, District 3, Ho Chi Minh",POETA,"We are makers, poets and builders who believe in the triumph of beautiful user-experiences."
UI UX Manager,FULL_TIME,You'll love it,"UI-UX, HTML5, Designer","222 Pasteur, District 3, Ho Chi Minh",DatVietVAC,The largest and vertically integrated media & entertainment group that provides end-to-end solutions
"Senior Mobile Engineer (Android, iOs)",FULL_TIME,You'll love it,"React Native, Android, iOS","364 Cong Hoa, Tan Binh, Ho Chi Minh",NashTech,"Global software, offshore development and IT company."
"Junior Java Engineer (Spring, J2EE)",FULL_TIME,You'll love it,"Java, J2EE, Spring","35 RICHY Tower, Mac Thai To street, Cau Giay, Ha Noi",DZS Việt Nam,The leading company of the 21 century network industry
"Senior Java Engineer (J2EE, Spring)",FULL_TIME,"1,200 - 1,950 USD","Java, J2EE, Spring","35 RICHY Tower, Mac Thai To street, Cau Giay, Ha Noi",DZS Việt Nam,The leading company of the 21 century network industry
Junior / Senior QC Engineers (Tester),FULL_TIME,You'll love it,"QA QC, English, Tester"," ANNA Building, Quang Trung Software City,, District 12, Ho Chi Minh",BBV Vietnam,"BBV Vietnam stands for top quality in consulting, first class software engineering"
.NET Developer,FULL_TIME,You'll love it,"ASP.NET, .NET","Floor #1, 302 Le Van Sy, Ward 1, Tan Binh, Ho Chi Minh",SCS Solutions,SCS Solutions
Sr Java Dev (3 years Spring) - 2300$,FULL_TIME,Up to $2300,"Java, Python, SQL","191 Bà Triệu, Hai Ba Trung, Ha Noi",Techcombank,Trở thành Ngân hàng tốt nhất và doanh nghiệp hàng đầu Việt Nam
Senior Web Developer (ReactJS) ~ 2300$,FULL_TIME,Up to $2300,"ReactJS, AngularJS, JavaScript","191 Bà Triệu, Hai Ba Trung, Ha Noi",Techcombank,Trở thành Ngân hàng tốt nhất và doanh nghiệp hàng đầu Việt Nam
"Data Engineers (Java, Database, SQL)",FULL_TIME,You'll love it,"Java, Database, SQL","M Floor, PetroLand Building, 12 Tan Trao, District 7, Ho Chi Minh",M_Service (MoMo),MoMo is Vietnam’s leading mobile e-wallet and over-the-counter (OTC) remittance and payment platform
Sr. Android Engineer,FULL_TIME,You'll love it,"Android, Agile","ILA building, 146 Nguyen Dinh Chieu, Ward 6, District 3, HCMc, District 3, Ho Chi Minh",Be Group,Make your career fly by working at BE GROUP
Sr. IOS Engineer,FULL_TIME,You'll love it,"iOS, Agile","ILA building, 146 Nguyen Dinh Chieu, Ward 6, District 3, HCMc, District 3, Ho Chi Minh",Be Group,Make your career fly by working at BE GROUP
QC Engineer (Mobile/Web/Automation),FULL_TIME,"1,500 - 1,800 USD","QA QC, English, Tester","364 Cong Hoa, Tan Binh, Ho Chi Minh",Orient Software Development Corp.,Orient Software is a leading international software outsourcing company in Vietnam
Senior QA QC Engineer (Mobile Tester),FULL_TIME,You'll love it,"QA QC, Agile, Tester","285 Cách Mạng Tháng 8, District 10, Ho Chi Minh",POPS Worldwide,POPS Worldwide is a leading digital entertainment company & based in VN
Senior ReactJS Developer (JavaScript),FULL_TIME,"1,500 - 2,000 USD","ReactJS, HTML5, JavaScript","364 Cong Hoa, Tan Binh, Ho Chi Minh",Orient Software Development Corp.,Orient Software is a leading international software outsourcing company in Vietnam
Technical Product Owner,FULL_TIME,"1,800 - 3,500 USD","Product Manager, Agile, Project Manager","WeWork, Lim Tower 3, 03-109, 29A Nguyễn Đình Chiểu, Đa Kao Ward, District 1, Ho Chi Minh",Nimble,We build outstanding software with expertise and passion
Sr. Frontend Engineers (React/JavaScript,FULL_TIME,You'll love it,"ReactJS, UI-UX, JavaScript","285  Cách Mạng Tháng 8, District 10, Ho Chi Minh",Wizeline,"Enable teams to conceive, develop, and deliver innovative technology products."
"Front-end Engineer (Angular,HTML5,UI-UX)",FULL_TIME,Attractive,"UI-UX, HTML5, Angular","40 Phạm Ngọc Thạch, District 3, Ho Chi Minh",HOIIO,A communication platform built for the agile professionals
DevOps Engineer,FULL_TIME,You'll love it!,"DevOps, System Engineer, System Admin","Flemington Tower, 182 Le Dai Hanh Street, District 11, Ho Chi Minh",FIREAPPS,FIREAPPS TECHNOLOGY JSC IS THE LEADING WEB-APP PROVIDER FOR E-COMMERCE PLATFORM.
"Jr-Sr .NET Developer (ASP.NET,JS,Azure)",FULL_TIME,You'll love it,".NET, C#, JavaScript","14 Tan Hai, Tan Binh, Ho Chi Minh",Simpson Strong-Tie Vietnam,"Simpson Strong-Tie has several branches throughout the world, and SST-VN is 100% foreign invested."
[Urgent] Unity Game Developer (C#),FULL_TIME,Up to 1500$,"Unity, C#, Games","46-48-50-52 B4 Street, Sala Urban Area, District 2, Ho Chi Minh","GNT VN., LTD",One of the leading software development services and business solutions provider in Vietnam.
Java Web Dev (Java core/Spring/ReactJS),FULL_TIME,You'll love it,"Java, ReactJS, Spring","60A Truong Son, Tan Binh, Ho Chi Minh",CODE88 COMPANY LIMITED,We provide IT solutions by developing software platform for business operation.
Android Developer (Java),FULL_TIME,"800 - 1,500 USD","Android, SQL, Java","Tầng 19, tòa nhà Center Building, Hapulico Complex số 1 Nguyễn Huy Tưởng, phường Thanh Xuân Trung, Thanh Xuan, Ha Noi",SohaGame,SohaGame
"Fullstack Dev (PHP, NodeJS, JavaScript)",FULL_TIME,"800 - 1,500 USD","PHP, JavaScript, NodeJS","Tầng 19, tòa nhà Center Building, Hapulico Complex số 1 Nguyễn Huy Tưởng, phường Thanh Xuân Trung, Thanh Xuan, Ha Noi",SohaGame,SohaGame
"C, C++ Developer (Junior - Senior)",FULL_TIME,You'll love it,"C++, Linux, C language","121 Le Loi, District 1, Ho Chi Minh",DEK Technologies,An Australian outsourcing design company with experience in all aspects of project life cycle
"Senior Software Engineer (Java, Spring)",FULL_TIME,You'll love it,"Java, English, Spring","364 Cong Hoa, Tan Binh, Ho Chi Minh",NashTech,"Global software, offshore development and IT company."
"Python Developer (AI/ML,Computer Vision)",FULL_TIME,You'll love it,"Python, SQL, NoSQL","Tòa nhà Cục Tần Số, 115 Trần Duy Hưng, Trung Hòa, Cầu Giấy, Hà Nội, Cau Giay, Ha Noi",VIVAS (A Member of VNPT Technology),Công ty TNHH Cung cấp Giải pháp Dịch vụ Giá trị Gia tăng (Thành viên VNPT Technology)
"15 Frontend Dev (AngularJS, JavaScript)",FULL_TIME,Up to 25m net,"AngularJS, JavaScript, Java","88 Phố Khúc Thừa Dụ, Dịch Vọng, Cầu Giấy, Hà Nội, Vietnam, Cau Giay, Ha Noi",Cổ Phần Công Nghệ Alphaway,Cổ Phần Công Nghệ Alphaway
"Product Business Analyst (UI-UX, SQL)",FULL_TIME,You'll love it,"Business Analyst, UI-UX, SQL","M Floor, PetroLand Building, 12 Tan Trao, District 7, Ho Chi Minh",M_Service (MoMo),MoMo is Vietnam’s leading mobile e-wallet and over-the-counter (OTC) remittance and payment platform
(HCM) Automation Testers,FULL_TIME,You'll love it,"Tester, Java, QA QC","19 7/F Scetpa Building,Cong Hoa, Tan Binh, Ho Chi Minh",Isobar Commerce (Bluecom Solutions),Isobar Commerce - Bluecom Solutions is one of the biggest e-commerce solution partners in Asia
"Web Dev (Angular, NodeJS, PHP, Python)",FULL_TIME,"800 - 1,500 USD","Angular, NodeJS, PHP","CT1, C14 Bắc Hà Building, Nam Tu Liem, Ha Noi",Kaopiz Sofware ,"Kaopiz Software Co., Ltd"
