title,job_type,salary,skills,address,company_name,company_description
Senior .NET Developer (Upto $2000),FULL_TIME,"1,300 - 2,000 USD","ASP.NET, C#, MVC",Citigo là công ty cung cấp giải pháp công nghệ cho doanh nghiệp phổ biến tại Đông Nam Á.,Citigo Software,Citigo là công ty cung cấp giải pháp công nghệ cho doanh nghiệp phổ biến tại Đông Nam Á.
"Mobile Dev (React Native, iOS, Android)",FULL_TIME,You'll love it,"iOS, Android, React Native",Woowa Brothers Viet Nam ,Woowa Brothers,Woowa Brothers Viet Nam 
"Automation Engineer (Tester,QA/QC,.NET)",FULL_TIME,Attractive salary,"Tester, QA QC, .NET",Episerver ,Episerver,Episerver 
Chuyên viên tư vấn giải pháp CNTT~ 1000$,FULL_TIME,"500 - 1,000 USD","System Engineer, System Admin, IT Support","Công ty hàng đầu trong lĩnh vực sản xuất - kinh doanh phần mềm, dịch vụ CNTT",Bkav,"Công ty hàng đầu trong lĩnh vực sản xuất - kinh doanh phần mềm, dịch vụ CNTT"
Senior Backend Engineer (GOLANG/~$2500),FULL_TIME,You'll love it,"Golang, MySQL, Cloud",Our mission is to “make everything autonomous” through blockchain technologies.,Autonomous,Our mission is to “make everything autonomous” through blockchain technologies.
"DevOps (AWS, Kubernetes)",FULL_TIME,You'll love it,"DevOps, Java, AWS",Pizza Hut Digital Ventures,Pizza Hut Digital Ventures,Pizza Hut Digital Ventures
Frontend Dev (JavaScript/HTML5/ReactJS),FULL_TIME,"700 - 1,000 USD","JavaScript, HTML5, ReactJS","SenPrints là một nền tảng thương mại điện tử giành riêng cho sản phẩm thiết kế, cá nhân hóa",SenPrints,"SenPrints là một nền tảng thương mại điện tử giành riêng cho sản phẩm thiết kế, cá nhân hóa"
We are looking for PHP Developers,FULL_TIME,500 - 900 USD,"PHP, MySQL, HTML5",Graphic and web design company from Singapore,Verz Design,Graphic and web design company from Singapore
Frontend Dev (JavaScript)- Up to 1200$,FULL_TIME,Up to $1200,"JavaScript, HTML5, CSS",Go Group là startup công nghệ tập hợp của những thành viên tài năng và tâm huyết.,Go Group,Go Group là startup công nghệ tập hợp của những thành viên tài năng và tâm huyết.
Infrastructure Security Engineer,FULL_TIME,You'll love it,"System Engineer, Linux, Networking",MoMo is Vietnam’s leading mobile e-wallet and over-the-counter (OTC) remittance and payment platform,M_Service (MoMo),MoMo is Vietnam’s leading mobile e-wallet and over-the-counter (OTC) remittance and payment platform
