title,job_type,skills,company_name,company_description,address
PHP Developer MySQL,FULL_TIME,"PHP, MySQL",Thẩm Mỹ Viện Quốc Tế Aura,Aura - Nâng tầm nét Việt,"67 Trần Thiện Chánh, District 10, Ho Chi Minh"
Full-Stack PHP Software Engineer,FULL_TIME,"PHP, HTML5, Laravel",EQCENTRIC,Eqcentric is pioneering the open industry movement,"., Other, Ho Chi Minh"
"Web Developer C#, .NET, SQL",FULL_TIME,".NET, C#, SQL",Công ty Cổ phần Lọc Hóa Dầu Bình Sơn (BSR),.,"Khu Kinh tế Dung Quất, xã Bình Trị, huyện Bình Sơn, tỉnh Quảng Ngãi., Not Available, Others"
"Web Developer PHP, Java, JavaScript",FULL_TIME,"PHP, JavaScript, Java",F3 Engineers,F3 Engineers,"A3-01 Phúc An City, Mỹ Hạnh Nam, Đức Hòa, Long An, Not Available, Others"
"Web Developer  JavaScript, HTML, CSS ",FULL_TIME,"JavaScript, HTML5, CSS",HIG,CÔNG TY TNHH CÔNG NGHỆ VÀ TRUYỀN THÔNG HIG,"số 18/2 Đoạn Xá, Phường Đông Hải 1, Hải An, Hải Phòng, Not Available, Others"
"Fullstack Developer NodeJS, ReacJS",FULL_TIME,"NodeJS, AngularJS, ReactJS",Angel 1 Investment,Công ty Cổ phần Đầu tư Thiên Thần 1 (AF1),"Tòa nhà Saigon Royal, 35 Bến Vân Đồn, Phường 12, District 4, Ho Chi Minh"
"Backend Developer Python, Django, SQL",FULL_TIME,"Python, SQL, Django",Akadon Application Technology,CÔNG TY TNHH CÔNG NGHỆ ỨNG DỤNG AKADON,"Số 45, Ngõ 191 Minh Khai, Hai Ba Trung, Ha Noi"
"IoT Java Backend Developer C#, Python",FULL_TIME,"Java, Python, C#",ANVGROUP JSC,ANVGROUP JSC,"17 đường 152A Cao Lỗ, P. 4, District 8, Ho Chi Minh"
"Backend Developer IoT Java,.NET, SQL",FULL_TIME,"Java, SQL, .NET",Asuzac ACM,Công ty TNHH ASUZAC là công ty có 100% vốn đầu tư nước ngoài,"Số 1 Đường Số 8 Kcn Viet Nam - Singapore, Thuận An, Bình Dương, Not Available, Others"
"Front-End Developer JavaScript,ReactJS",FULL_TIME,"JavaScript, CSS, ReactJS",Joy Software ,Công ty TNHH Giải pháp Phần mềm Niềm Vui,"Tầng 20, tòa nhà Vinaconex 9, số 9 Phạm Hùng, Nam Tu Liem, Ha Noi"
Product Manager,FULL_TIME,"Product Manager, Agile, Team Leader",INSTANA,Make life easier for DevOps,"., District 1, Ho Chi Minh"
Senior ReactJS Engineer JavaScript,FULL_TIME,"ReactJS, HTML5, JavaScript",INSTANA,Make life easier for DevOps,"., District 1, Ho Chi Minh"
"Senior Web Developer HTML, CSS, PHP",FULL_TIME,"Wordpress, HTML5, JavaScript",Deliveree On-Demand Logistics,"At Deliveree, we disrupt the logistics industry with technologies.","431 Hoàng Văn Thụ, Phường 4, Tân Bình, Hồ Chí Minh, Vietnam, Tan Binh, Ho Chi Minh"
Senior iOS Developers Mobile Apps,FULL_TIME,"iOS, Objective C, Swift",BeLive,Belive Technology - One-stop solution for livestreaming,"133 Dương Bá Trạc, Ward 1, District 8, Ho Chi Minh"
"Junior/Middle Web Developer PHP, MySQL",FULL_TIME,"PHP, MySQL, HTML5",SCJ TV Shopping,Công ty bán lẻ trực tuyến,"38 Huỳnh Lan Khanh, Tan Binh, Ho Chi Minh"
"Fullstack Developer  PHP, JavaScript ",FULL_TIME,"JavaScript, PHP",Vmark,CÔNG TY CỔ PHẦN TRUYỀN THÔNG VMARK,"160 Hoàng Hoa Thám, Ngọc Hồ, Tay Ho, Ha Noi"
React Native Developer,FULL_TIME,"React Native, JavaScript",Công ty TNHH Giáo dục Sáng tạo Zenga,A Creative Team,"Tầng 5, Số 119 Nguyễn Ngọc Nại, phường Khương Mai, Thanh Xuan, Ha Noi"
Senior IT  Infra,FULL_TIME,"IT Support, System Engineer, System Admin",Thuocsi.vn,Our mission is to make it easy for pharmacies to research and order products.,"248A No Trang Long, Ward 12, Binh Thanh District, HCMC, District 10, Ho Chi Minh"
Java / PHP Developer,FULL_TIME,"Java, PHP",AI&T,WE ARE  AI&T,"21th Floor, TNR Tower, 54A Nguyen Chi Thanh Street, Dong Da, Ha Noi"
"NodeJS Developer AngularJS, JavaScript",FULL_TIME,"NodeJS, AngularJS, JavaScript",New Pinetech,"Leading in interactive online marketing platform that make ""every impression is valuable""","14 - 16 -18 Chu Manh Trinh str, Ben Nghe Ward, District 1, Ho Chi Minh"
"Android Developer Java, OOP",FULL_TIME,"Android, OOP, Java",DICOM,Công ty Công Nghệ DICOM đã liên tục xây dựng và phát triển trở thành công ty lớn mạnh,"1 Nguyen Huy Tuong, Thanh Xuan, Ha Noi"
"Backend Developer PHP,  Go",FULL_TIME,"PHP, Golang",DICOM,Công ty Công Nghệ DICOM đã liên tục xây dựng và phát triển trở thành công ty lớn mạnh,"1 Nguyen Huy Tuong, Thanh Xuan, Ha Noi"
Project Manager Up to 2500,FULL_TIME,"Project Manager, Agile, Manager",Sun* Inc.,Digital Creative Studio With Top 1% Talent In Asia,"Keangnam Hanoi Landmark Tower , Nam Tu Liem, Ha Noi"
"7 Junior + .NET Dev ASP.NET, C#, MVC",FULL_TIME,".NET, C#, MVC",FSI,Công ty CP Đầu tư Thương mại và Phát triển Công nghệ FSI,"Tầng 8 - Tòa nhà CTM Complex số 139 đường Cầu Giấy, Quan Hoa, Cầu Giấy, Hà Nội., Cau Giay, Ha Noi"
"Java Developer Agile, C#",FULL_TIME,"Java, C#, Agile",ETECH,ETECH ,"Tẩng 14, tháp B, Tòa Goden Land, 275 Nguyễn Trãi, Thanh Xuan, Ha Noi"
Frontend Engineer ReactJs/VueJs,FULL_TIME,"ReactJS, AngularJS, VueJS",Manabie International Pte Ltd,What’s your inner greatness?,"15th Floor, 180 Nguyen Cong Tru, Nguyen Thai Binh Ward, District 1, Ho Chi Minh"
